to,from,cor
ENSG00000116254.13,ENSG00000173673.7,-0.0419885868760297
ENSG00000116254.13,ENSG00000158748.3,0.059110103799582
ENSG00000116254.13,ENSG00000168389.13,0.185714285714286
ENSG00000116254.13,ENSG00000116641.11,-0.136407931845189
ENSG00000116254.13,ENSG00000181754.6,0.57012987012987
ENSG00000116254.13,ENSG00000171943.7,0.0207927269364994
ENSG00000116254.13,ENSG00000073756.7,0.224098745174239
ENSG00000116254.13,ENSG00000076356.6,0.254545454545455
ENSG00000116254.13,ENSG00000115507.5,0.253246753246753
ENSG00000116254.13,ENSG00000116035.2,0.204678405781166
ENSG00000116254.13,ENSG00000115317.7,0.719480519480519
ENSG00000116254.13,ENSG00000066032.14,0.338961038961039
ENSG00000116254.13,ENSG00000168758.6,0.255844155844156
ENSG00000116254.13,ENSG00000198914.2,0.309090909090909
ENSG00000116254.13,ENSG00000169554.12,0.0402597402597403
ENSG00000116254.13,ENSG00000144290.12,0.636363636363636
ENSG00000116254.13,ENSG00000135919.8,0.132467532467532
ENSG00000116254.13,ENSG00000176720.3,-0.087012987012987
ENSG00000116254.13,ENSG00000145191.7,0.47012987012987
ENSG00000116254.13,ENSG00000013810.14,0.476098190360903
ENSG00000116254.13,ENSG00000163394.5,-0.359162349971311
ENSG00000116254.13,ENSG00000033178.8,0.271428571428571
ENSG00000116254.13,ENSG00000138772.8,0.00649350649350649
ENSG00000116254.13,ENSG00000145388.10,-0.012987012987013
ENSG00000116254.13,ENSG00000151012.9,-0.231168831168831
ENSG00000116254.13,ENSG00000112972.10,0.672727272727273
ENSG00000116254.13,ENSG00000164329.9,0.0987012987012987
ENSG00000116254.13,ENSG00000182578.9,0.0896103896103896
ENSG00000116254.13,ENSG00000184845.3,-0.348814568575555
ENSG00000116254.13,ENSG00000175325.2,0.262143358269164
ENSG00000116254.13,ENSG00000096093.10,-0.027931147949253
ENSG00000116254.13,ENSG00000060762.14,0.00584605422193668
ENSG00000116254.13,ENSG00000189056.9,0.211688311688312
ENSG00000116254.13,ENSG00000128610.7,-0.44242114203879
ENSG00000116254.13,ENSG00000106144.15,-0.0155844155844156
ENSG00000116254.13,ENSG00000078674.13,-0.0688311688311688
ENSG00000116254.13,ENSG00000104290.6,0.149350649350649
ENSG00000116254.13,ENSG00000020181.13,0.394805194805195
ENSG00000116254.13,ENSG00000147526.15,0.107792207792208
ENSG00000116254.13,ENSG00000147571.3,0.398181248671909
ENSG00000116254.13,ENSG00000164929.12,0.345454545454545
ENSG00000116254.13,ENSG00000164930.7,-0.0480519480519481
ENSG00000116254.13,ENSG00000167632.10,0.415584415584416
ENSG00000116254.13,ENSG00000106948.12,-0.118181818181818
ENSG00000116254.13,ENSG00000095397.9,-0.0168831168831169
ENSG00000116254.13,ENSG00000106689.6,0.194805194805195
ENSG00000116254.13,ENSG00000097007.13,0.225974025974026
ENSG00000116254.13,ENSG00000138311.11,0.5
ENSG00000116254.13,ENSG00000099284.9,0.361038961038961
ENSG00000116254.13,ENSG00000151208.12,0.318181818181818
ENSG00000116254.13,ENSG00000198728.6,0.367651854401795
ENSG00000116254.13,ENSG00000138162.13,0.293506493506494
ENSG00000116254.13,ENSG00000187908.11,-0.0683150292854015
ENSG00000116254.13,ENSG00000110436.7,-0.116883116883117
ENSG00000116254.13,ENSG00000213619.5,0.124675324675325
ENSG00000116254.13,ENSG00000002330.9,0.496103896103896
ENSG00000116254.13,ENSG00000182704.6,0.0337662337662338
ENSG00000116254.13,ENSG00000111752.6,0.187012987012987
ENSG00000116254.13,ENSG00000166006.8,0.744155844155844
ENSG00000116254.13,ENSG00000120686.7,0.207792207792208
ENSG00000116254.13,ENSG00000043355.6,0.306892327100077
ENSG00000116254.13,ENSG00000187498.10,-0.038961038961039
ENSG00000116254.13,ENSG00000133961.15,0.374025974025974
ENSG00000116254.13,ENSG00000114062.13,0.492207792207792
ENSG00000116254.13,ENSG00000186297.7,0.158441558441558
ENSG00000116254.13,ENSG00000069667.11,0.0493506493506493
ENSG00000116254.13,ENSG00000138623.5,0.532467532467532
ENSG00000116254.13,ENSG00000184254.12,0.632467532467533
ENSG00000116254.13,ENSG00000103319.7,0.107177660735506
ENSG00000116254.13,ENSG00000205336.7,0.112987012987013
ENSG00000116254.13,ENSG00000070770.4,0.427272727272727
ENSG00000116254.13,ENSG00000167720.8,0.2
ENSG00000116254.13,ENSG00000128482.11,0.362337662337662
ENSG00000116254.13,ENSG00000108576.5,0.417319123398949
ENSG00000116254.13,ENSG00000186868.11,0.812987012987013
ENSG00000116254.13,ENSG00000159217.5,-0.270252017635675
ENSG00000116254.13,ENSG00000154975.9,0.6
ENSG00000116254.13,ENSG00000180616.4,0.441701874546327
ENSG00000116254.13,ENSG00000141433.8,0.753246753246753
ENSG00000116254.13,ENSG00000170558.4,0.381818181818182
ENSG00000116254.13,ENSG00000105613.5,0.657142857142857
ENSG00000116254.13,ENSG00000105699.12,0.135064935064935
ENSG00000116254.13,ENSG00000073050.7,0.302597402597403
ENSG00000116254.13,ENSG00000160007.13,0.790909090909091
ENSG00000116254.13,ENSG00000105402.3,0.698701298701299
ENSG00000116254.13,ENSG00000169169.10,0.480519480519481
ENSG00000116254.13,ENSG00000161681.11,0.912987012987013
ENSG00000116254.13,ENSG00000185513.10,0.566233766233766
ENSG00000116254.13,ENSG00000198026.6,0.555844155844156
ENSG00000116254.13,ENSG00000186716.15,0.0181818181818182
ENSG00000116254.13,ENSG00000100320.18,0.541558441558442
ENSG00000116254.13,ENSG00000128298.12,0.646753246753247
ENSG00000116254.13,ENSG00000182583.8,0.015423533425086
ENSG00000116254.13,ENSG00000177504.9,-0.107159943955364
ENSG00000116254.13,ENSG00000102098.13,-0.150649350649351
ENSG00000116254.13,ENSG00000125931.6,0.527272727272727
ENSG00000116254.13,ENSG00000085224.16,0.35974025974026
ENSG00000116254.13,ENSG00000198689.5,0.442857142857143
ENSG00000116254.13,ENSG00000198804.2,0.175324675324675
ENSG00000173673.7,ENSG00000158748.3,-0.162564171684988
ENSG00000173673.7,ENSG00000168389.13,0.124410627780829
ENSG00000173673.7,ENSG00000116641.11,-0.246568624038954
ENSG00000173673.7,ENSG00000181754.6,-0.371676750495226
ENSG00000173673.7,ENSG00000171943.7,-0.261043098704573
ENSG00000173673.7,ENSG00000073756.7,0.122895402517838
ENSG00000173673.7,ENSG00000076356.6,-0.283034178201386
ENSG00000173673.7,ENSG00000115507.5,0.212275633651039
ENSG00000173673.7,ENSG00000116035.2,0.230309261450234
ENSG00000173673.7,ENSG00000115317.7,-0.146182487642474
ENSG00000173673.7,ENSG00000066032.14,0.0995285022246631
ENSG00000173673.7,ENSG00000168758.6,-0.416775603065777
ENSG00000173673.7,ENSG00000198914.2,-0.157845983996927
ENSG00000173673.7,ENSG00000169554.12,0.0987509358010329
ENSG00000173673.7,ENSG00000144290.12,-0.190503773789394
ENSG00000173673.7,ENSG00000135919.8,0.0995285022246631
ENSG00000173673.7,ENSG00000176720.3,-0.0482091182650712
ENSG00000173673.7,ENSG00000145191.7,-0.155513284726036
ENSG00000173673.7,ENSG00000013810.14,-0.0786620106755639
ENSG00000173673.7,ENSG00000163394.5,0
ENSG00000173673.7,ENSG00000033178.8,-0.288477143166797
ENSG00000173673.7,ENSG00000138772.8,-0.0412110204523996
ENSG00000173673.7,ENSG00000145388.10,-0.230159661394533
ENSG00000173673.7,ENSG00000151012.9,0.321134932959264
ENSG00000173673.7,ENSG00000112972.10,-0.0622053138904144
ENSG00000173673.7,ENSG00000164329.9,-0.134518991288021
ENSG00000173673.7,ENSG00000182578.9,-0.00155513284726036
ENSG00000173673.7,ENSG00000184845.3,-0.192899112812809
ENSG00000173673.7,ENSG00000175325.2,-0.198777225550405
ENSG00000173673.7,ENSG00000096093.10,-0.474469591999248
ENSG00000173673.7,ENSG00000060762.14,-0.0676702532851387
ENSG00000173673.7,ENSG00000189056.9,-0.164066515385968
ENSG00000173673.7,ENSG00000128610.7,0.157764834814873
ENSG00000173673.7,ENSG00000106144.15,-0.206055102261998
ENSG00000173673.7,ENSG00000078674.13,-0.478203350532561
ENSG00000173673.7,ENSG00000104290.6,-0.285366877472276
ENSG00000173673.7,ENSG00000020181.13,-0.0248821255561658
ENSG00000173673.7,ENSG00000147526.15,-0.1314087255935
ENSG00000173673.7,ENSG00000147571.3,0.241123891016011
ENSG00000173673.7,ENSG00000164929.12,-0.0964182365301424
ENSG00000173673.7,ENSG00000164930.7,-0.276813646812344
ENSG00000173673.7,ENSG00000167632.10,-0.349904890633581
ENSG00000173673.7,ENSG00000106948.12,0.0450988525705505
ENSG00000173673.7,ENSG00000095397.9,-0.0404334540287694
ENSG00000173673.7,ENSG00000106689.6,0.025659691979796
ENSG00000173673.7,ENSG00000097007.13,-0.12752089347535
ENSG00000173673.7,ENSG00000138311.11,-0.318802233688374
ENSG00000173673.7,ENSG00000099284.9,-0.207610235109258
ENSG00000173673.7,ENSG00000151208.12,-0.264372584034261
ENSG00000173673.7,ENSG00000198728.6,-0.220511687429159
ENSG00000173673.7,ENSG00000138162.13,-0.267482849728782
ENSG00000173673.7,ENSG00000187908.11,0.0919321012748394
ENSG00000173673.7,ENSG00000110436.7,-0.0458764189941806
ENSG00000173673.7,ENSG00000213619.5,-0.169509480351379
ENSG00000173673.7,ENSG00000002330.9,-0.00622053138904144
ENSG00000173673.7,ENSG00000182704.6,-0.0209942934380149
ENSG00000173673.7,ENSG00000111752.6,-0.25659691979796
ENSG00000173673.7,ENSG00000166006.8,0.0956406701065122
ENSG00000173673.7,ENSG00000120686.7,-0.025659691979796
ENSG00000173673.7,ENSG00000043355.6,0.168172895869186
ENSG00000173673.7,ENSG00000187498.10,0.0489866846887014
ENSG00000173673.7,ENSG00000133961.15,-0.262817451187001
ENSG00000173673.7,ENSG00000114062.13,-0.250376388408918
ENSG00000173673.7,ENSG00000186297.7,0.0622053138904144
ENSG00000173673.7,ENSG00000069667.11,-0.189726207365764
ENSG00000173673.7,ENSG00000138623.5,-0.328133030771936
ENSG00000173673.7,ENSG00000184254.12,-0.237935325630835
ENSG00000173673.7,ENSG00000103319.7,-0.220900596930798
ENSG00000173673.7,ENSG00000205336.7,0.186615941671243
ENSG00000173673.7,ENSG00000070770.4,-0.194391605907545
ENSG00000173673.7,ENSG00000167720.8,-0.0482091182650712
ENSG00000173673.7,ENSG00000128482.11,-0.220051297887341
ENSG00000173673.7,ENSG00000108576.5,0.0576899544960402
ENSG00000173673.7,ENSG00000186868.11,-0.21460833292193
ENSG00000173673.7,ENSG00000159217.5,-0.0118975697809188
ENSG00000173673.7,ENSG00000154975.9,0.0381007547578788
ENSG00000173673.7,ENSG00000180616.4,-0.210011130884913
ENSG00000173673.7,ENSG00000141433.8,-0.0132186292017131
ENSG00000173673.7,ENSG00000170558.4,-0.109636865731855
ENSG00000173673.7,ENSG00000105613.5,-0.113524697850006
ENSG00000173673.7,ENSG00000105699.12,0.0373231883342487
ENSG00000173673.7,ENSG00000073050.7,-0.135296557711651
ENSG00000173673.7,ENSG00000160007.13,-0.0668707124321955
ENSG00000173673.7,ENSG00000105402.3,-0.209942934380149
ENSG00000173673.7,ENSG00000169169.10,-0.169509480351379
ENSG00000173673.7,ENSG00000161681.11,0.0816444744811689
ENSG00000173673.7,ENSG00000185513.10,-0.143849788371583
ENSG00000173673.7,ENSG00000198026.6,-0.1726197460459
ENSG00000173673.7,ENSG00000186716.15,-0.162511382538708
ENSG00000173673.7,ENSG00000100320.18,-0.231714794241794
ENSG00000173673.7,ENSG00000128298.12,0.0816444744811689
ENSG00000173673.7,ENSG00000182583.8,0.324812540748131
ENSG00000173673.7,ENSG00000177504.9,0.128318920541786
ENSG00000173673.7,ENSG00000102098.13,-0.167176781080489
ENSG00000173673.7,ENSG00000125931.6,0.0194391605907545
ENSG00000173673.7,ENSG00000085224.16,-0.291587408861318
ENSG00000173673.7,ENSG00000198689.5,-0.0482091182650712
ENSG00000173673.7,ENSG00000198804.2,0.351460023480842
ENSG00000158748.3,ENSG00000168389.13,0.274764548431024
ENSG00000158748.3,ENSG00000116641.11,0.457439896036387
ENSG00000158748.3,ENSG00000181754.6,0.0545631727380757
ENSG00000158748.3,ENSG00000171943.7,-0.354241162678827
ENSG00000158748.3,ENSG00000073756.7,0.206627680311891
ENSG00000158748.3,ENSG00000076356.6,-0.0552127343182908
ENSG00000158748.3,ENSG00000115507.5,0.34686588383491
ENSG00000158748.3,ENSG00000116035.2,-0.677283103690528
ENSG00000158748.3,ENSG00000115317.7,0.255927262604783
ENSG00000158748.3,ENSG00000066032.14,0.659954565498629
ENSG00000158748.3,ENSG00000168758.6,-0.303345257960492
ENSG00000158748.3,ENSG00000198914.2,0.463137406693428
ENSG00000158748.3,ENSG00000169554.12,0.186424173521758
ENSG00000158748.3,ENSG00000144290.12,0.279961041072745
ENSG00000158748.3,ENSG00000135919.8,0.447547928768263
ENSG00000158748.3,ENSG00000176720.3,-0.320233859046087
ENSG00000158748.3,ENSG00000145191.7,-0.311139996923074
ENSG00000158748.3,ENSG00000013810.14,-0.433312012909242
ENSG00000158748.3,ENSG00000163394.5,0.386394415526608
ENSG00000158748.3,ENSG00000033178.8,-0.407924672375137
ENSG00000158748.3,ENSG00000138772.8,0.0688535275028097
ENSG00000158748.3,ENSG00000145388.10,-0.224748306754454
ENSG00000158748.3,ENSG00000151012.9,0.389087386548897
