to,from,cor
ENSG00000116254.13,ENSG00000173673.7,0.194768849156048
ENSG00000116254.13,ENSG00000158748.3,0.345454545454545
ENSG00000116254.13,ENSG00000168389.13,-0.236363636363636
ENSG00000116254.13,ENSG00000116641.11,0.575757575757576
ENSG00000116254.13,ENSG00000181754.6,0.693012319795274
ENSG00000116254.13,ENSG00000171943.7,0.636363636363636
ENSG00000116254.13,ENSG00000073756.7,0.648484848484848
ENSG00000116254.13,ENSG00000076356.6,0.612121212121212
ENSG00000116254.13,ENSG00000115507.5,0.575757575757576
ENSG00000116254.13,ENSG00000116035.2,0.638300820864068
ENSG00000116254.13,ENSG00000115317.7,0.587878787878788
ENSG00000116254.13,ENSG00000066032.14,0.648484848484848
ENSG00000116254.13,ENSG00000168758.6,0.345454545454545
ENSG00000116254.13,ENSG00000198914.2,0.733333333333333
ENSG00000116254.13,ENSG00000169554.12,-0.284848484848485
ENSG00000116254.13,ENSG00000144290.12,0.781818181818182
ENSG00000116254.13,ENSG00000135919.8,0.660606060606061
ENSG00000116254.13,ENSG00000176720.3,-0.309090909090909
ENSG00000116254.13,ENSG00000145191.7,0.648484848484848
ENSG00000116254.13,ENSG00000013810.14,0.757575757575757
ENSG00000116254.13,ENSG00000163394.5,0.476772568272899
ENSG00000116254.13,ENSG00000033178.8,0.636363636363636
ENSG00000116254.13,ENSG00000138772.8,0.296969696969697
ENSG00000116254.13,ENSG00000145388.10,0.587878787878788
ENSG00000116254.13,ENSG00000151012.9,0.309090909090909
ENSG00000116254.13,ENSG00000112972.10,0.793939393939394
ENSG00000116254.13,ENSG00000164329.9,0.103030303030303
ENSG00000116254.13,ENSG00000182578.9,0.272727272727273
ENSG00000116254.13,ENSG00000184845.3,-0.00606060606060606
ENSG00000116254.13,ENSG00000175325.2,0.700649049745371
ENSG00000116254.13,ENSG00000096093.10,0.36969696969697
ENSG00000116254.13,ENSG00000060762.14,-0.0666666666666667
ENSG00000116254.13,ENSG00000189056.9,0.624242424242424
ENSG00000116254.13,ENSG00000128610.7,-0.0486324434944052
ENSG00000116254.13,ENSG00000106144.15,0.357575757575757
ENSG00000116254.13,ENSG00000078674.13,0.696969696969697
ENSG00000116254.13,ENSG00000104290.6,0.539393939393939
ENSG00000116254.13,ENSG00000020181.13,0.357575757575757
ENSG00000116254.13,ENSG00000147526.15,0.612121212121212
ENSG00000116254.13,ENSG00000147571.3,0.575757575757576
ENSG00000116254.13,ENSG00000164929.12,0.466666666666667
ENSG00000116254.13,ENSG00000164930.7,0.36969696969697
ENSG00000116254.13,ENSG00000167632.10,0.333333333333333
ENSG00000116254.13,ENSG00000106948.12,0.345454545454545
ENSG00000116254.13,ENSG00000095397.9,0.127272727272727
ENSG00000116254.13,ENSG00000106689.6,0.309090909090909
ENSG00000116254.13,ENSG00000097007.13,0.393939393939394
ENSG00000116254.13,ENSG00000138311.11,0.757575757575757
ENSG00000116254.13,ENSG00000099284.9,0.624242424242424
ENSG00000116254.13,ENSG00000151208.12,0.854545454545454
