to,from,cor
ENSG00000107404.13,ENSG00000157916.14,1
ENSG00000107404.13,ENSG00000162367.7,0.5
ENSG00000107404.13,ENSG00000156150.6,1
ENSG00000107404.13,ENSG00000134253.5,0.5
ENSG00000107404.13,ENSG00000242252.1,-0.5
ENSG00000107404.13,ENSG00000185630.14,0.5
ENSG00000107404.13,ENSG00000116132.7,0.5
ENSG00000107404.13,ENSG00000162891.6,0.866025403784439
ENSG00000107404.13,ENSG00000136630.11,-0.5
ENSG00000107404.13,ENSG00000082258.8,0.5
ENSG00000107404.13,ENSG00000204335.3,-0.5
ENSG00000107404.13,ENSG00000128710.5,-0.5
ENSG00000107404.13,ENSG00000204262.7,1
ENSG00000107404.13,ENSG00000115009.7,0.5
ENSG00000107404.13,ENSG00000144681.6,1
ENSG00000107404.13,ENSG00000068001.9,0.5
ENSG00000107404.13,ENSG00000136068.10,0.5
ENSG00000107404.13,ENSG00000114861.14,1
ENSG00000107404.13,ENSG00000163659.8,1
ENSG00000107404.13,ENSG00000145192.8,0.5
ENSG00000107404.13,ENSG00000114503.6,1
ENSG00000107404.13,ENSG00000250317.4,1
ENSG00000107404.13,ENSG00000152595.12,0.866025403784439
ENSG00000107404.13,ENSG00000164161.5,1
ENSG00000107404.13,ENSG00000132356.7,0.5
ENSG00000107404.13,ENSG00000156427.7,-0.5
ENSG00000107404.13,ENSG00000153162.8,0.5
ENSG00000107404.13,ENSG00000204248.6,-0.5
ENSG00000107404.13,ENSG00000137288.5,-0.5
ENSG00000107404.13,ENSG00000124749.12,-0.5
ENSG00000107404.13,ENSG00000171217.5,0.5
ENSG00000107404.13,ENSG00000005073.5,0.5
ENSG00000107404.13,ENSG00000106483.7,1
ENSG00000107404.13,ENSG00000174428.12,1
ENSG00000107404.13,ENSG00000006652.9,-0.5
ENSG00000107404.13,ENSG00000174697.4,0.5
ENSG00000107404.13,ENSG00000168077.9,0.5
ENSG00000107404.13,ENSG00000147509.9,1
ENSG00000107404.13,ENSG00000154188.5,0.5
ENSG00000107404.13,ENSG00000164976.8,0.5
ENSG00000107404.13,ENSG00000235387.1,0.866025403784439
ENSG00000107404.13,ENSG00000156345.13,0.5
ENSG00000107404.13,ENSG00000187764.7,0.5
ENSG00000107404.13,ENSG00000148308.13,1
ENSG00000107404.13,ENSG00000177291.3,1
ENSG00000107404.13,ENSG00000177791.11,-0.5
ENSG00000107404.13,ENSG00000133794.13,1
ENSG00000107404.13,ENSG00000152266.2,-0.866025403784439
ENSG00000107404.13,ENSG00000052850.5,1
ENSG00000107404.13,ENSG00000197847.8,0.5
ENSG00000107404.13,ENSG00000110066.10,0.5
ENSG00000107404.13,ENSG00000137727.8,0.5
ENSG00000107404.13,ENSG00000043039.5,-0.5
ENSG00000107404.13,ENSG00000111186.8,1
ENSG00000107404.13,ENSG00000197905.4,-0.5
ENSG00000107404.13,ENSG00000111679.12,1
ENSG00000107404.13,ENSG00000111424.6,0.5
ENSG00000107404.13,ENSG00000037965.4,1
ENSG00000107404.13,ENSG00000198353.6,1
ENSG00000107404.13,ENSG00000166886.8,-0.5
ENSG00000107404.13,ENSG00000100625.8,1
ENSG00000107404.13,ENSG00000248905.4,1
ENSG00000107404.13,ENSG00000167196.9,1
ENSG00000107404.13,ENSG00000154237.8,1
ENSG00000107404.13,ENSG00000005513.9,0.5
ENSG00000107404.13,ENSG00000103489.7,0.5
ENSG00000107404.13,ENSG00000186153.12,-0.5
ENSG00000107404.13,ENSG00000167522.10,0.5
ENSG00000107404.13,ENSG00000108515.13,0.5
ENSG00000107404.13,ENSG00000170175.6,1
ENSG00000107404.13,ENSG00000129194.3,1
ENSG00000107404.13,ENSG00000133020.4,0.5
ENSG00000107404.13,ENSG00000141127.10,0.5
ENSG00000107404.13,ENSG00000073536.13,1
ENSG00000107404.13,ENSG00000141750.6,1
ENSG00000107404.13,ENSG00000120068.5,0.5
ENSG00000107404.13,ENSG00000108821.9,-0.5
ENSG00000107404.13,ENSG00000259384.2,-1
ENSG00000107404.13,ENSG00000108654.7,1
ENSG00000107404.13,ENSG00000157637.8,1
ENSG00000107404.13,ENSG00000132010.11,0.5
ENSG00000107404.13,ENSG00000186115.8,0
ENSG00000107404.13,ENSG00000105664.6,-1
ENSG00000107404.13,ENSG00000187664.8,1
ENSG00000107404.13,ENSG00000105357.11,1
ENSG00000107404.13,ENSG00000133247.9,-0.5
ENSG00000107404.13,ENSG00000125878.4,-0.5
ENSG00000107404.13,ENSG00000125772.8,1
ENSG00000107404.13,ENSG00000125879.4,-0.866025403784439
ENSG00000107404.13,ENSG00000173418.7,0.5
ENSG00000107404.13,ENSG00000125813.9,0.5
ENSG00000107404.13,ENSG00000124104.14,0.5
ENSG00000107404.13,ENSG00000101203.12,0
ENSG00000107404.13,ENSG00000244624.2,1
ENSG00000107404.13,ENSG00000157557.7,0.5
ENSG00000107404.13,ENSG00000100068.7,0.5
ENSG00000107404.13,ENSG00000185960.8,-0.5
ENSG00000107404.13,ENSG00000157399.10,1
ENSG00000107404.13,ENSG00000102265.7,-0.5
ENSG00000157916.14,ENSG00000162367.7,0.5
ENSG00000157916.14,ENSG00000156150.6,1
ENSG00000157916.14,ENSG00000134253.5,0.5
ENSG00000157916.14,ENSG00000242252.1,-0.5
ENSG00000157916.14,ENSG00000185630.14,0.5
ENSG00000157916.14,ENSG00000116132.7,0.5
ENSG00000157916.14,ENSG00000162891.6,0.866025403784439
ENSG00000157916.14,ENSG00000136630.11,-0.5
ENSG00000157916.14,ENSG00000082258.8,0.5
ENSG00000157916.14,ENSG00000204335.3,-0.5
ENSG00000157916.14,ENSG00000128710.5,-0.5
ENSG00000157916.14,ENSG00000204262.7,1
ENSG00000157916.14,ENSG00000115009.7,0.5
ENSG00000157916.14,ENSG00000144681.6,1
ENSG00000157916.14,ENSG00000068001.9,0.5
ENSG00000157916.14,ENSG00000136068.10,0.5
ENSG00000157916.14,ENSG00000114861.14,1
ENSG00000157916.14,ENSG00000163659.8,1
ENSG00000157916.14,ENSG00000145192.8,0.5
ENSG00000157916.14,ENSG00000114503.6,1
ENSG00000157916.14,ENSG00000250317.4,1
ENSG00000157916.14,ENSG00000152595.12,0.866025403784439
ENSG00000157916.14,ENSG00000164161.5,1
ENSG00000157916.14,ENSG00000132356.7,0.5
ENSG00000157916.14,ENSG00000156427.7,-0.5
ENSG00000157916.14,ENSG00000153162.8,0.5
ENSG00000157916.14,ENSG00000204248.6,-0.5
ENSG00000157916.14,ENSG00000137288.5,-0.5
ENSG00000157916.14,ENSG00000124749.12,-0.5
ENSG00000157916.14,ENSG00000171217.5,0.5
ENSG00000157916.14,ENSG00000005073.5,0.5
ENSG00000157916.14,ENSG00000106483.7,1
ENSG00000157916.14,ENSG00000174428.12,1
ENSG00000157916.14,ENSG00000006652.9,-0.5
ENSG00000157916.14,ENSG00000174697.4,0.5
ENSG00000157916.14,ENSG00000168077.9,0.5
ENSG00000157916.14,ENSG00000147509.9,1
ENSG00000157916.14,ENSG00000154188.5,0.5
ENSG00000157916.14,ENSG00000164976.8,0.5
ENSG00000157916.14,ENSG00000235387.1,0.866025403784439
ENSG00000157916.14,ENSG00000156345.13,0.5
ENSG00000157916.14,ENSG00000187764.7,0.5
ENSG00000157916.14,ENSG00000148308.13,1
ENSG00000157916.14,ENSG00000177291.3,1
ENSG00000157916.14,ENSG00000177791.11,-0.5
ENSG00000157916.14,ENSG00000133794.13,1
ENSG00000157916.14,ENSG00000152266.2,-0.866025403784439
ENSG00000157916.14,ENSG00000052850.5,1
ENSG00000157916.14,ENSG00000197847.8,0.5
ENSG00000157916.14,ENSG00000110066.10,0.5
ENSG00000157916.14,ENSG00000137727.8,0.5
ENSG00000157916.14,ENSG00000043039.5,-0.5
ENSG00000157916.14,ENSG00000111186.8,1
ENSG00000157916.14,ENSG00000197905.4,-0.5
ENSG00000157916.14,ENSG00000111679.12,1
ENSG00000157916.14,ENSG00000111424.6,0.5
ENSG00000157916.14,ENSG00000037965.4,1
ENSG00000157916.14,ENSG00000198353.6,1
ENSG00000157916.14,ENSG00000166886.8,-0.5
ENSG00000157916.14,ENSG00000100625.8,1
ENSG00000157916.14,ENSG00000248905.4,1
ENSG00000157916.14,ENSG00000167196.9,1
ENSG00000157916.14,ENSG00000154237.8,1
ENSG00000157916.14,ENSG00000005513.9,0.5
ENSG00000157916.14,ENSG00000103489.7,0.5
ENSG00000157916.14,ENSG00000186153.12,-0.5
ENSG00000157916.14,ENSG00000167522.10,0.5
ENSG00000157916.14,ENSG00000108515.13,0.5
ENSG00000157916.14,ENSG00000170175.6,1
ENSG00000157916.14,ENSG00000129194.3,1
ENSG00000157916.14,ENSG00000133020.4,0.5
ENSG00000157916.14,ENSG00000141127.10,0.5
ENSG00000157916.14,ENSG00000073536.13,1
ENSG00000157916.14,ENSG00000141750.6,1
ENSG00000157916.14,ENSG00000120068.5,0.5
ENSG00000157916.14,ENSG00000108821.9,-0.5
ENSG00000157916.14,ENSG00000259384.2,-1
ENSG00000157916.14,ENSG00000108654.7,1
ENSG00000157916.14,ENSG00000157637.8,1
ENSG00000157916.14,ENSG00000132010.11,0.5
ENSG00000157916.14,ENSG00000186115.8,0
ENSG00000157916.14,ENSG00000105664.6,-1
ENSG00000157916.14,ENSG00000187664.8,1
ENSG00000157916.14,ENSG00000105357.11,1
ENSG00000157916.14,ENSG00000133247.9,-0.5
ENSG00000157916.14,ENSG00000125878.4,-0.5
