to,from,cor
ENSG00000116254.13,ENSG00000173673.7,-0.130591691146328
ENSG00000116254.13,ENSG00000158748.3,0.103215961286678
ENSG00000116254.13,ENSG00000168389.13,0.215384615384615
ENSG00000116254.13,ENSG00000116641.11,0.244615384615385
ENSG00000116254.13,ENSG00000181754.6,0.441708382061026
ENSG00000116254.13,ENSG00000171943.7,0.246923076923077
ENSG00000116254.13,ENSG00000073756.7,0.54
ENSG00000116254.13,ENSG00000076356.6,0.443076923076923
ENSG00000116254.13,ENSG00000115507.5,0.30242403162018
ENSG00000116254.13,ENSG00000116035.2,0.1931140639685
ENSG00000116254.13,ENSG00000115317.7,0.638461538461539
ENSG00000116254.13,ENSG00000066032.14,0.490769230769231
ENSG00000116254.13,ENSG00000168758.6,0.258461538461538
ENSG00000116254.13,ENSG00000198914.2,0.355384615384615
ENSG00000116254.13,ENSG00000169554.12,-0.0815384615384615
ENSG00000116254.13,ENSG00000144290.12,0.409230769230769
ENSG00000116254.13,ENSG00000135919.8,0.243076923076923
ENSG00000116254.13,ENSG00000176720.3,-0.0630769230769231
ENSG00000116254.13,ENSG00000145191.7,0.369230769230769
ENSG00000116254.13,ENSG00000013810.14,0.573846153846154
ENSG00000116254.13,ENSG00000163394.5,0.221288251096759
ENSG00000116254.13,ENSG00000033178.8,0.258461538461538
ENSG00000116254.13,ENSG00000138772.8,-0.00923076923076923
ENSG00000116254.13,ENSG00000145388.10,0.0361538461538462
ENSG00000116254.13,ENSG00000151012.9,0.0176923076923077
ENSG00000116254.13,ENSG00000112972.10,0.640769230769231
ENSG00000116254.13,ENSG00000164329.9,-0.0153846153846154
ENSG00000116254.13,ENSG00000182578.9,0.108867091838816
ENSG00000116254.13,ENSG00000184845.3,-0.0434698988614353
ENSG00000116254.13,ENSG00000175325.2,-0.161988936452525
ENSG00000116254.13,ENSG00000096093.10,0.0230769230769231
ENSG00000116254.13,ENSG00000060762.14,0.0415384615384615
ENSG00000116254.13,ENSG00000189056.9,0.350769230769231
ENSG00000116254.13,ENSG00000128610.7,-0.141040724234123
ENSG00000116254.13,ENSG00000106144.15,0.0923076923076923
ENSG00000116254.13,ENSG00000078674.13,0.0815384615384615
ENSG00000116254.13,ENSG00000104290.6,0.256153846153846
ENSG00000116254.13,ENSG00000020181.13,0.596923076923077
ENSG00000116254.13,ENSG00000147526.15,0.266153846153846
ENSG00000116254.13,ENSG00000147571.3,0.33686252368532
ENSG00000116254.13,ENSG00000164929.12,0.466923076923077
ENSG00000116254.13,ENSG00000164930.7,0.166923076923077
ENSG00000116254.13,ENSG00000167632.10,0.433846153846154
ENSG00000116254.13,ENSG00000106948.12,-0.0161538461538462
ENSG00000116254.13,ENSG00000095397.9,-0.34
ENSG00000116254.13,ENSG00000106689.6,0.433160231132532
ENSG00000116254.13,ENSG00000097007.13,0.387766885418821
ENSG00000116254.13,ENSG00000138311.11,0.268461538461538
ENSG00000116254.13,ENSG00000099284.9,0.353076923076923
ENSG00000116254.13,ENSG00000151208.12,0.636153846153846
ENSG00000116254.13,ENSG00000198728.6,0.29
ENSG00000116254.13,ENSG00000138162.13,0.376153846153846
ENSG00000116254.13,ENSG00000187908.11,-0.226284432544953
ENSG00000116254.13,ENSG00000110436.7,-0.00384615384615385
ENSG00000116254.13,ENSG00000213619.5,0.368461538461538
ENSG00000116254.13,ENSG00000002330.9,0.538461538461539
ENSG00000116254.13,ENSG00000182704.6,0.0907692307692308
ENSG00000116254.13,ENSG00000111752.6,0.280769230769231
ENSG00000116254.13,ENSG00000166006.8,0.570109647014576
ENSG00000116254.13,ENSG00000120686.7,0.01
ENSG00000116254.13,ENSG00000043355.6,0.433076923076923
ENSG00000116254.13,ENSG00000187498.10,0.315384615384615
ENSG00000116254.13,ENSG00000133961.15,0.44
ENSG00000116254.13,ENSG00000114062.13,0.32
ENSG00000116254.13,ENSG00000186297.7,0.161538461538462
ENSG00000116254.13,ENSG00000069667.11,0.328461538461538
ENSG00000116254.13,ENSG00000138623.5,0.463076923076923
ENSG00000116254.13,ENSG00000184254.12,0.449230769230769
ENSG00000116254.13,ENSG00000103319.7,0.385384615384615
ENSG00000116254.13,ENSG00000205336.7,0.198461538461538
ENSG00000116254.13,ENSG00000070770.4,0.487692307692308
ENSG00000116254.13,ENSG00000167720.8,0.386923076923077
ENSG00000116254.13,ENSG00000128482.11,0.405384615384615
ENSG00000116254.13,ENSG00000108576.5,-0.0619707650910407
ENSG00000116254.13,ENSG00000186868.11,0.631538461538462
ENSG00000116254.13,ENSG00000159217.5,0.0781950998693551
ENSG00000116254.13,ENSG00000154975.9,0.582307692307692
ENSG00000116254.13,ENSG00000180616.4,0.402462515362224
ENSG00000116254.13,ENSG00000141433.8,0.765147157835352
ENSG00000116254.13,ENSG00000170558.4,0.47
ENSG00000116254.13,ENSG00000105613.5,0.690769230769231
ENSG00000116254.13,ENSG00000105699.12,0.153106369441161
ENSG00000116254.13,ENSG00000073050.7,0.426923076923077
ENSG00000116254.13,ENSG00000160007.13,0.683846153846154
ENSG00000116254.13,ENSG00000105402.3,0.601538461538462
ENSG00000116254.13,ENSG00000169169.10,0.453846153846154
ENSG00000116254.13,ENSG00000161681.11,0.839230769230769
ENSG00000116254.13,ENSG00000185513.10,0.537692307692308
ENSG00000116254.13,ENSG00000198026.6,0.529230769230769
ENSG00000116254.13,ENSG00000186716.15,0.211538461538462
ENSG00000116254.13,ENSG00000100320.18,0.41
ENSG00000116254.13,ENSG00000128298.12,0.616923076923077
ENSG00000116254.13,ENSG00000182583.8,0.292266117648256
ENSG00000116254.13,ENSG00000177504.9,-0.0613395615082148
ENSG00000116254.13,ENSG00000102098.13,0.308136185734599
ENSG00000116254.13,ENSG00000125931.6,0.64320062740106
ENSG00000116254.13,ENSG00000085224.16,0.303846153846154
ENSG00000116254.13,ENSG00000198689.5,0.234615384615385
ENSG00000116254.13,ENSG00000198804.2,0.457692307692308
ENSG00000173673.7,ENSG00000158748.3,-0.279554877874526
ENSG00000173673.7,ENSG00000168389.13,-0.155270435929886
ENSG00000173673.7,ENSG00000116641.11,-0.198458239301112
ENSG00000173673.7,ENSG00000181754.6,-0.387039628567714
